date,prc,ticker
2024-10-22,427.51001,MSFT
2024-10-23,424.60001,MSFT
2024-10-24,424.73001,MSFT
2024-10-25,428.14999,MSFT
2024-10-28,426.59,MSFT
2024-10-29,431.95001,MSFT
2024-10-30,432.53,MSFT
2024-10-31,406.35001,MSFT
2024-11-01,410.37,MSFT
2024-11-04,408.45999,MSFT
2024-11-05,411.45999,MSFT
2024-11-06,420.17999,MSFT
2024-11-07,425.42999,MSFT
2024-11-08,422.54001,MSFT
2024-11-11,418.01001,MSFT
2024-11-12,423.03,MSFT
2024-11-13,425.20001,MSFT
2024-11-14,426.89001,MSFT
2024-11-15,415.0,MSFT
2024-11-18,415.76001,MSFT
2024-11-19,417.79001,MSFT
2024-11-20,415.48999,MSFT
2024-11-21,412.87,MSFT
2024-11-22,417.0,MSFT
2024-11-25,418.79001,MSFT
2024-11-26,427.98999,MSFT
2024-11-27,422.98999,MSFT
2024-11-29,423.45999,MSFT
2024-12-02,430.98001,MSFT
2024-12-03,431.20001,MSFT
2024-12-04,437.42001,MSFT
2024-12-05,442.62,MSFT
2024-12-06,443.57001,MSFT
2024-12-09,446.01999,MSFT
2024-12-10,443.32999,MSFT
2024-12-11,448.98999,MSFT
2024-12-12,449.56,MSFT
2024-12-13,447.26999,MSFT
2024-12-16,451.59,MSFT
2024-12-17,454.45999,MSFT
2024-12-18,437.39001,MSFT
2024-12-19,437.03,MSFT
2024-12-20,436.60001,MSFT
2024-12-23,435.25,MSFT
2024-12-24,439.32999,MSFT
2024-12-26,438.10999,MSFT
2024-12-27,430.53,MSFT
2024-12-30,424.82999,MSFT
2024-12-31,421.5,MSFT
